chr	pos	data.x	neg_log10_p.x	data.y	neg_log10_p.y
chrX	316075		0.21718505807891178		0.923175899630516
chrX	336075		0.3360309419568435		0.8877812573797844
chrX	356075		0.4123910674456841		1.0814916042800877
chrX	376075		0.3894008080729548		0.9515418392783361
chrX	396075		0.36248061311054514		0.7891351561424503
chrX	416075		0.121306178187785		0.676056958835293
chrX	436075		0.0913848433712341		0.6975823678339347
chrX	456075		0.09658810570458963		0.6097192300651272
chrX	476075		0.11798079898114401		0.538348477758292
chrX	496075		0.1417555601183678		0.4792714748249514
chrX	516075		0.1394436822038125		0.4340757479507834
chrX	536075		0.1401084800944642		0.417261079194512
chrX	556075		0.1331727131947001		0.4167687749159272
chrX	576075		0.12472172530185753		0.36655135359946023
chrX	596075		0.12273290436601161		0.32491067006097774
chrX	616075		0.07585076528393504		0.2543907828544253
chrX	636075		0.12402883268928518		0.2996107959517375
chrX	656075		0.1208761865336834		0.3587611324086193
chrX	676075		0.08177510483790734		0.43114655604617624
chrX	696075		0.1018695191295646		0.31377851368363224
chrX	716075		0.08597837003234506		0.28305634484265507
chrX	736075		0.07206317607707935		0.26239927734763796
chrX	756075		0.06180523689367203		0.2518412630538765
chrX	776075		0.09140405851432297		0.2679067176398367
chrX	796075		0.09749280599881491		0.27258822710036146
chrX	816075		0.16542473342383168		0.2728884543197634
chrX	836075		0.1498635168545604		0.3215012922777401
chrX	856075		0.17166114661869064		0.33390329607766894
chrX	876075		0.17203761249655436		0.34279126142945215
chrX	896075		0.1097014430000544		0.29547270450167895
chrX	916075		0.1713902028427295		0.3974140179283838
chrX	936075		0.17313848708287902		0.40440267621313514
chrX	956075		0.16890045431353598		0.38343519262524195
chrX	976075		0.16886066813651934		0.4334777817175256
chrX	996075		0.20776041505552317		0.5077362508246889
chrX	1016075		0.26524408067437166		0.593035440559665
chrX	1036075		0.26419069831440156		0.5600744114887188
chrX	1056075		0.24721550690274066		0.5053344011009635
chrX	1076075		0.2943878502938041		0.6011824715997264
chrX	1096075		0.2855370774385688		0.6167098654022191
chrX	1116075		0.23876459824321936		0.6475933992879273
chrX	1136075		0.28986304766104365		0.6648126552703159
chrX	1156075		0.2869570480756957		0.651265357302687
chrX	1176075		0.2521530534050316		0.6225599213067701
chrX	1196075		0.2724498239388053		0.6395219463055001
chrX	1216075		0.16312083527509907		0.7437725935110768
chrX	1236075		0.25777358654780025		0.6077141034956898
chrX	1256075		0.24079046100135412		0.604708226082693
chrX	1276075		0.2867552051351268		0.6328132717757675
chrX	1296075		0.35940461287807324		0.6620327121752938
chrX	1316075		0.304318570447653		0.5681924147273525
chrX	1336075		0.3064125450919537		0.5754411468877167
chrX	1356075		0.29919996058987725		0.5743471956704767
chrX	1376075		0.2842178958147029		0.49845624753353773
chrX	1396075		0.27397973370970014		0.45247221237972524
chrX	1416075		0.26386064192577446		0.45531552501691613
chrX	1436075		0.2600089774308583		0.4193306417606737
